# Marketing name | Google Play model | Google Play device (optional disambiguation) | Manufacturer India reference
Samsung Galaxy S25 Ultra|SM-S938B||https://www.samsung.com/in/smartphones/galaxy-s25-ultra/specs/
Samsung Galaxy S25+|SM-S936B||https://www.samsung.com/in/smartphones/galaxy-s25/specs/
Samsung Galaxy S25|SM-S931B||https://www.samsung.com/in/smartphones/galaxy-s25/specs/
Samsung Galaxy S24 Ultra|SM-S928B||https://www.samsung.com/in/smartphones/galaxy-s24-ultra/specs/
Samsung Galaxy S24+|SM-S926B||https://www.samsung.com/in/smartphones/galaxy-s24/specs/
Samsung Galaxy S24|SM-S921B||https://www.samsung.com/in/smartphones/galaxy-s24/specs/
Samsung Galaxy S23 Ultra|SM-S918B||https://www.samsung.com/in/smartphones/galaxy-s23-ultra/specs/
Samsung Galaxy S23+|SM-S916B||https://www.samsung.com/in/smartphones/galaxy-s23/specs/
Samsung Galaxy S23|SM-S911B||https://www.samsung.com/in/smartphones/galaxy-s23/specs/
Samsung Galaxy S23 FE|SM-S711B||https://www.samsung.com/in/smartphones/galaxy-s23-fe/
Samsung Galaxy S24 FE|SM-S721B||https://www.samsung.com/in/smartphones/galaxy-s24-fe/
Samsung Galaxy A56 5G|SM-A566E||https://www.samsung.com/in/smartphones/galaxy-a56-5g/
Samsung Galaxy A55 5G|SM-A556E||https://www.samsung.com/in/smartphones/galaxy-a55/
Samsung Galaxy A54 5G|SM-A546E||https://www.samsung.com/in/smartphones/galaxy-a54-5g/
Samsung Galaxy A36 5G|SM-A366E||https://www.samsung.com/in/smartphones/galaxy-a36-5g/
Samsung Galaxy A35 5G|SM-A356E||https://www.samsung.com/in/smartphones/galaxy-a35/
Samsung Galaxy A34 5G|SM-A346E||https://www.samsung.com/in/smartphones/galaxy-a34-5g/
Samsung Galaxy M55 5G|SM-M556B||https://news.samsung.com/in/samsung-unveils-galaxy-m55-5g-galaxy-m15-5g-with-segment-leading-super-amoled-plus-display-powerful-processor-and-stylish-design-in-india
Samsung Galaxy M35 5G|SM-M356B||https://news.samsung.com/in/samsung-unveils-galaxy-m35-5g-with-segment-leading-monster-features-in-india
Samsung Galaxy M34 5G|SM-M346B||https://www.samsung.com/in/smartphones/galaxy-m/galaxy-m34-5g-midnight-blue-128gb-sm-m346bzbhins/
Samsung Galaxy M15 5G|SM-M156B||https://news.samsung.com/in/samsung-unveils-galaxy-m55-5g-galaxy-m15-5g-with-segment-leading-super-amoled-plus-display-powerful-processor-and-stylish-design-in-india
Samsung Galaxy F55 5G|SM-E556B||https://news.samsung.com/in/samsung-unveils-galaxy-f55-5g-with-classy-vegan-leather-design-super-amoled-display-and-powerful-snapdragon-processor-in-india
Samsung Galaxy F54 5G|SM-E546B||https://www.samsung.com/in/smartphones/galaxy-f/galaxy-f54-5g-stardust-silver-256gb-sm-e546bzshins/
Samsung Galaxy F15 5G|SM-E156B||https://www.samsung.com/in/smartphones/galaxy-f/galaxy-f15-5g-ash-black-128gb-sm-e156bzkhins/
OnePlus 13|CPH2649||https://www.oneplus.in/13/specs
OnePlus 13R|CPH2691||https://www.oneplus.in/13r/specs
OnePlus 12|CPH2573||https://www.oneplus.in/12/specs
OnePlus 12R|CPH2585||https://www.oneplus.in/12r/specs
OnePlus 11 5G|CPH2447||https://www.oneplus.in/11/specs
OnePlus 11R 5G|CPH2487||https://www.oneplus.in/11r/specs
OnePlus 10 Pro 5G|NE2211||https://www.oneplus.in/10-pro/specs
OnePlus 10R 5G|CPH2411||https://www.oneplus.in/10r/specs
OnePlus 10T 5G|CPH2413||https://www.oneplus.in/10t/specs
OnePlus Nord 4|CPH2661||https://www.oneplus.in/nord-4/specs
OnePlus Nord 3 5G|CPH2491||https://www.oneplus.in/nord-3-5g/specs
OnePlus Nord CE4|CPH2613||https://www.oneplus.in/nord-ce4-5g/specs
OnePlus Nord CE4 Lite 5G|CPH2619||https://www.oneplus.in/nord-ce4-lite-5g/specs
OnePlus Nord 2T 5G|CPH2401||https://www.oneplus.in/nord-2t-5g/specs
Xiaomi 15|24129PN74I||https://www.mi.com/in/product/xiaomi-15/specs/
Xiaomi 14|23127PN0CG||https://www.mi.com/in/product/xiaomi-14/specs/
Xiaomi 14 Civi|24053PY09I||https://www.mi.com/in/product/xiaomi-14-civi/specs/
Xiaomi 13 Pro|2210132G||https://www.mi.com/in/product/xiaomi-13-pro/specs/
Xiaomi 12 Pro|2201122G||https://www.mi.com/in/product/xiaomi-12-pro/specs/
Xiaomi 11i|21091116I||https://www.mi.com/in/product/xiaomi-11i/specs/
Redmi Note 14 Pro+ 5G|24115RA8EI||https://www.mi.com/in/product/redmi-note-14-pro-plus-5g/specs/
Redmi Note 14 Pro 5G|24090RA29I||https://www.mi.com/in/product/redmi-note-14-pro-5g/specs/
Redmi Note 14 5G|24094RAD4I||https://www.mi.com/in/product/redmi-note-14-5g/specs/
Redmi Note 13 Pro+ 5G|23090RA98I||https://www.mi.com/in/product/redmi-note-13-pro-plus-5g/specs/
Redmi Note 13 Pro 5G|2312DRA50I||https://www.mi.com/in/product/redmi-note-13-pro-5g/specs/
Redmi Note 13 5G|2312DRAABI||https://www.mi.com/in/product/redmi-note-13-5g/specs/
Redmi Note 12 Pro+ 5G|22101316UP||https://www.mi.com/in/product/redmi-note-12-pro-plus-5g/specs/
Redmi Note 12 Pro 5G|22101316I||https://www.mi.com/in/product/redmi-note-12-pro-5g/specs/
Redmi Note 12|23027RAD4I||https://www.mi.com/in/product/redmi-note-12/specs/
POCO F6|24069PC21I||https://www.po.co/in/product/poco-f6/specs/
POCO X6 Pro 5G|2311DRK48I||https://www.po.co/in/product/poco-x6-pro/specs/
POCO X6 5G|23122PCD1I||https://www.po.co/in/product/poco-x6/specs/
POCO M6 Pro 5G|23076PC4BI||https://www.po.co/in/product/poco-m6-pro-5g/
POCO X5 Pro 5G|22101320I||https://www.po.co/in/product/poco-x5-pro-5g/specs/
Motorola edge 50 fusion|motorola edge 50 fusion|cuscoi|https://en-in.support.motorola.com/app/product_support/p/11871/motorola_edge_50_fusion
Motorola edge 50 pro|motorola edge 50 pro|eqe|https://www.motorola.in/smartphones-motorola-edge-50-pro/p
Motorola edge 50 ultra|motorola edge 50 ultra|ctwo|https://www.motorola.in/smartphones-motorola-edge-50-ultra/p
Motorola edge 50|motorola edge 50|tank|https://www.motorola.in/smartphones-motorola-edge-50/p
Motorola edge 50 neo|motorola edge 50 neo|vienna|https://www.motorola.in/smartphones-motorola-edge-50-neo/p
Motorola edge 40|motorola edge 40|lyriq|https://www.motorola.in/smartphones-motorola-edge-40/p
Motorola edge 40 neo|motorola edge 40 neo|manaus|https://www.motorola.in/smartphones-motorola-edge-40-neo/p
Motorola moto g85 5G|moto g85 5G|malmo|https://www.motorola.in/smartphones-moto-g85-5g/p
Motorola moto g84 5G|moto g84 5G|bangkk|https://www.motorola.in/smartphones-moto-g84-5g/p
Motorola moto g64 5G|moto g64 5G|cancunf|https://www.motorola.in/smartphones-moto-g64-5g/p
realme 14 Pro+ 5G|RMX5051||https://www.realme.com/in/realme-14-pro-plus-5g/specs
